id,numpoints,X,Y
2232,5,651884.9534753,6863548.1625260
2233,6,650865.4153968,6861049.0411909
2234,1,651836.2192247,6862299.9560497
2235,2,652256.4731251,6862747.9918014
2236,2,655866.1195142,6860065.0378523
2237,1,651778.3729785,6863517.6314413
2238,1,651918.5782051,6862990.8634858
2239,3,653778.9817066,6862876.7495586
2240,1,650277.5680310,6858375.7068408
2241,4,652006.0767544,6865572.6215007
2242,2,653742.1522503,6862967.2814882
2243,1,648927.2165654,6861518.6931186
2244,2,653862.8340236,6862914.5061432
2245,1,650741.7326750,6863017.2609691
2246,4,653959.4991781,6862748.7024544
2247,1,650854.2692753,6862992.2242779
2248,2,653956.5320370,6862884.9922362
2249,4,651000.9605184,6864030.2123211
2250,9,650764.0278449,6861012.5474278
2251,1,653847.6340067,6862322.0525816
2252,2,651468.4156728,6865091.8263570
2253,4,653847.4102611,6862377.5100226
2254,2,653732.4615395,6862839.3014642
2255,5,652666.7710735,6864241.3629929
2256,4,653985.7069051,6861897.7938907
2257,2,652780.2146355,6863692.0863984
2258,1,650622.6615681,6863078.7882795
2259,3,654078.1595617,6863943.5117785
2260,1,653945.5398240,6863891.8253504
2261,2,649851.7082740,6864628.1047139
2262,5,654002.0560496,6863811.5138348
2263,1,653987.8486057,6863486.7163983
2264,1,653988.6263507,6863660.1708766
2265,1,653910.7457220,6863589.4961836
2266,4,654070.9682716,6862596.4444581
2267,7,652698.0208996,6864552.1070429
2268,2,652620.8431575,6864583.4470615
2269,1,654000.9043195,6861243.8225053
2270,4,649890.4433121,6863941.8911621
2271,1,650030.8519103,6863842.7667969
2272,2,653936.7256255,6861997.1763950
2273,4,651531.5781125,6859215.9778027
2274,1,652757.0565510,6860463.3714562
2275,3,651637.9946865,6859755.3292628
2276,2,652881.5319004,6864435.4882105
2277,1,652847.2524916,6864328.6224327
2278,2,653042.0617407,6858284.7013683
2279,6,650227.8177363,6858713.1156179
2280,1,653550.0548853,6860164.9862346
2281,5,653989.0550654,6858332.5992999
2282,2,647828.0462827,6863234.5200598
2283,1,653915.8203899,6858188.4344673
2284,7,654619.3421253,6866327.1165512
2285,2,650406.6772209,6858411.8469039
2286,1,648243.2900808,6863495.3176660
2287,2,651438.8860808,6864249.3471867
2288,1,651720.9509415,6864414.1462944
2289,4,651861.2702336,6864454.1171478
2290,1,647968.7146031,6863481.5655284
2291,2,648081.2830567,6863658.4750619
2292,1,651824.8625212,6860426.8033053
2293,2,653644.3760881,6863057.2895042
2294,3,648387.8261521,6863261.7314262
2295,1,653629.4536502,6859310.3686424
2296,1,653947.1199544,6864868.5885412
2297,1,648204.9551331,6863257.1117959
2298,4,651967.4625411,6865726.4561888
2299,1,651943.4854415,6864233.7220624
2300,2,651968.8055884,6864898.2130276
2301,3,651971.8736135,6864293.3224985
2302,5,654340.4460499,6861307.4224919
2303,1,651678.4003103,6864147.6138181
2304,1,654385.6616729,6861272.4639971
2305,1,653511.3197891,6865207.6496009
2306,1,654783.7799005,6862048.2448770
2307,1,651764.5004295,6864510.1915328
